frame,subframe,left_force_Fx,left_force_Fy,left_force_Fz,right_force_Fx,right_force_Fy,right_force_Fz,left_force,right_force,combined_force
2780,9,155.584,1.51004,-1094.63,-147.766,-6.20242,-976.137,1105.6326235132544,987.277419745259,2092.9100432585133
2781,0,155.853,1.46145,-1094.75,-147.502,-6.16324,-976.497,1105.7892457177825,987.5936495038319,2093.3828952216145
2781,1,155.789,1.47958,-1095.24,-147.313,-5.90984,-976.469,1106.265365668643,987.5362039635943,2093.8015696322373
2781,2,155.804,1.35179,-1095.3,-147.191,-5.8662,-976.523,1106.3267165499547,987.571147974889,2093.8978645248435
2781,3,155.665,1.53822,-1095.15,-147.214,-5.84577,-976.792,1106.1588858955881,987.8404456626045,2093.9993315581924
2781,4,155.677,1.67957,-1094.63,-147.333,-5.91452,-976.405,1105.6459587880674,987.4759331046151,2093.1218918926825
2781,5,155.913,1.68005,-1094.88,-147.123,-5.69371,-976.424,1105.9267157171864,987.4621123053603,2093.3888280225465
2781,6,155.851,1.67973,-1095.25,-147.07,-5.70759,-976.919,1106.2842845281102,987.9437706897129,2094.228055217823
2781,7,155.849,1.6791,-1094.88,-146.843,-5.62041,-977.109,1105.9176934011907,988.0973907153931,2094.0150841165837
2781,8,156.051,1.80151,-1094.82,-147.05,-5.2755,-977.405,1105.8869709148762,988.4189736266954,2094.3059445415715
2781,9,155.992,1.95886,-1095.07,-146.82,-5.08959,-977.277,1106.1264150613615,988.2572291945899,2094.3836442559514
2782,0,155.817,1.97281,-1095.48,-146.718,-4.91685,-977.396,1106.5076863123438,988.358886110669,2094.8665724230127
2782,1,155.943,2.00638,-1094.52,-146.821,-4.96062,-977.7,1105.5750880015814,988.6750243592605,2094.2501123608417
2782,2,156.051,2.03403,-1094.3,-146.385,-5.1033,-977.656,1105.372580571384,988.5675830371387,2093.9401636085227
2782,3,156.084,2.09968,-1093.91,-146.269,-4.89226,-977.799,1104.9912722787012,988.6907701449971,2093.6820424236985
2782,4,155.989,1.8196,-1094.19,-146.216,-4.49931,-977.53,1105.2545567267118,988.4150258603296,2093.6695825870415
2782,5,156.051,1.64778,-1094.63,-145.837,-4.37399,-978.107,1105.698632847092,988.9291510550794,2094.6277839021714
2782,6,156.145,1.72314,-1093.68,-145.989,-4.14569,-978.699,1104.7715477131278,989.5361072076026,2094.3076549207303
2782,7,156.052,2.00315,-1093.48,-146.074,-3.86085,-978.635,1104.5608854716531,989.484200411367,2094.04508588302
2782,8,156.002,2.11331,-1093.52,-145.807,-3.76991,-978.726,1104.5936268524981,989.5344746629135,2094.128101515412
2782,9,156.175,2.03582,-1093.38,-145.669,-3.4456,-978.896,1104.4793341607042,989.6811145699204,2094.1604487306245
2783,0,156.099,1.95817,-1093.2,-145.648,-3.25165,-978.825,1104.2902572379912,989.6071411205169,2093.8973983585083
2783,1,155.909,1.9413,-1092.24,-145.838,-3.18181,-979.275,1103.3130120354288,990.0799825185217,2093.3929945539503
2783,2,155.939,2.01871,-1091.89,-145.717,-2.8492,-979.861,1102.970905786306,990.6407731113433,2093.611678897649
2783,3,156.048,1.91294,-1091.49,-145.496,-2.63694,-980.031,1102.5901585555005,990.7758578152595,2093.36601637076
2783,4,156.05,1.67696,-1091.3,-145.388,-2.45586,-979.77,1102.4019705601227,990.5013653157372,2092.9033358758597
2783,5,156.062,1.64567,-1090.94,-145.294,-2.60254,-979.86,1102.0472492927647,990.5769729054131,2092.624222198178
2783,6,156.299,1.62901,-1090.84,-145.294,-2.42983,-980.472,1101.9818222977092,991.1819173561577,2093.1637396538667
2783,7,156.176,1.76844,-1090.78,-145.264,-2.29157,-980.714,1101.9052040697663,991.4165778244103,2093.3217818941766
2783,8,156.109,1.75738,-1090.23,-145.126,-2.02819,-980.571,1101.3512433213414,991.2543344024662,2092.6055777238075
2783,9,156.175,1.4606,-1089.54,-145.013,-1.92947,-980.778,1100.6771441150943,991.4423726609031,2092.1195167759975
2784,0,156.139,1.39629,-1089.34,-145.091,-2.01114,-980.986,1100.4739763150985,991.6597073397203,2092.133683654819
2784,1,156.406,1.41233,-1088.79,-145.048,-1.94611,-981.399,1099.9674975252808,992.0618462823435,2092.029343807624
2784,2,156.392,1.27356,-1088.85,-144.936,-2.02509,-980.742,1100.0247279580005,991.3956907559706,2091.4204187139712
2784,3,156.451,1.13204,-1089.09,-144.863,-2.10413,-980.642,1100.2705235602566,991.286259511377,2091.5567830716336
2784,4,156.657,1.04061,-1087.82,-144.673,-2.1508,-980.704,1099.0426974954942,991.3199475878814,2090.3626450833754
2784,5,156.609,0.716082,-1086.93,-144.673,-2.17992,-980.172,1098.154686988327,990.7937114072769,2088.948398395604
2784,6,156.67,0.646934,-1086.8,-144.582,-2.2573,-979.371,1098.034674964138,989.9881846609534,2088.0228596250913
2784,7,156.642,0.793763,-1086.22,-144.53,-2.42761,-980.047,1097.4567119589274,990.6497546556564,2088.106466614584
2784,8,156.483,0.602452,-1085.82,-144.491,-2.58876,-980.2,1097.0379959861975,990.7958370720669,2087.8338330582646
2784,9,156.469,0.77393,-1085.67,-144.237,-2.50995,-979.38,1096.8876404758353,989.9473705293643,2086.8350110051997
2785,0,156.558,0.851563,-1084.59,-144.285,-2.37205,-979.055,1095.8314654286683,989.6324978855547,2085.463963314223
2785,1,156.811,0.838015,-1083.81,-144.224,-2.41155,-978.29,1095.0956616159797,988.8668777188376,2083.9625393348174
2785,2,156.763,0.804675,-1083.38,-144.22,-2.57476,-977.777,1094.6631948096435,988.3591955954362,2083.02239040508
2785,3,156.732,0.869187,-1082.8,-144.242,-2.536,-977.993,1094.0847843334816,988.5759929863764,2082.660777319858
2785,4,156.563,0.668939,-1082.46,-143.901,-2.74442,-977.461,1093.7239469118274,988.0005243739178,2081.724471285745
2785,5,156.496,0.524514,-1082.22,-143.603,-2.54555,-977.56,1093.476749424027,988.0545809993506,2081.5313304233778
2785,6,156.654,0.543762,-1081.23,-143.659,-2.42939,-977.497,1092.519603619593,988.0000987984628,2080.5197024180557
2785,7,156.545,0.446618,-1081.55,-143.806,-2.52875,-976.831,1092.820634410166,987.3628323841052,2080.183466794271
2785,8,156.389,0.6492,-1081.28,-143.785,-2.47648,-976.38,1092.5311799585584,986.9134529320139,2079.4446328905724
2785,9,156.355,0.682886,-1079.32,-143.914,-2.74101,-976.506,1090.5865462026793,987.0576075223877,2077.644153725067
2786,0,156.45,0.649671,-1078.07,-143.668,-2.99186,-975.676,1089.363093496566,986.201349840011,2075.564443336577
2786,1,156.42,0.68274,-1077.46,-143.309,-3.02686,-975.838,1088.7551304742071,986.3095019345902,2075.0646324087975
2786,2,156.434,0.619137,-1076.8,-143.361,-2.96159,-975.622,1088.1039562866338,986.1031559732115,2074.2071122598454
2786,3,156.559,0.697266,-1076.81,-143.59,-3.03929,-974.685,1088.131877467467,985.2097109797,2073.341588447167
2786,4,156.484,0.805586,-1075.74,-143.353,-3.14772,-974.622,1087.0622975822514,985.1132085370688,2072.1755061193203
2786,5,156.233,0.899952,-1074.81,-143.293,-3.24263,-975.235,1086.1059323577063,985.7112679295682,2071.8172002872743
2786,6,156.231,0.747043,-1074.89,-143.228,-3.3335,-974.45,1086.1846967869894,984.9254665741211,2071.1101633611106
2786,7,156.128,0.571812,-1074.13,-143.245,-3.5069,-974.342,1085.4176782478548,984.821690122943,2070.239368370798
2786,8,155.779,0.636254,-1073.16,-143.258,-3.58505,-974.64,1084.4076204362236,985.1186917054729,2069.5263121416965
2786,9,155.949,0.741274,-1072.34,-143.323,-3.57214,-974.388,1083.6206511912474,984.8787829256855,2068.499434116933
2787,0,156.108,0.977432,-1071.99,-143.336,-3.56718,-973.74,1083.2973844412784,984.2395649785434,2067.5369494198217
2787,1,155.877,0.978323,-1071.3,-143.31,-3.67936,-973.091,1082.5813069903306,983.5941175459568,2066.175424536287
2787,2,155.715,1.06923,-1070.79,-143.059,-3.8131,-972.819,1082.0533852716292,983.2889829412359,2065.342368212865
2787,3,155.782,1.33236,-1070.19,-142.964,-3.9483,-972.829,1081.469575534684,983.2855931060365,2064.7551686407205
2787,4,155.593,1.49076,-1070.23,-142.934,-3.80094,-972.343,1081.4821574646423,982.7998194698062,2064.2819769344487
2787,5,155.409,1.41399,-1069.19,-142.916,-3.91382,-971.857,1080.4264032078818,982.3168172702697,2062.7432204781517
2787,6,155.247,1.30579,-1068.01,-142.843,-3.80522,-971.432,1079.2352367285475,981.8852952215184,2061.120531950066
2787,7,155.559,1.24121,-1067.78,-142.684,-3.80092,-971.17,1079.0524878259,981.6029440404335,2060.6554318663334
2787,8,155.626,1.25774,-1067.75,-142.58,-4.06507,-970.631,1079.0324815712952,981.0556148124859,2060.0880963837812
2787,9,155.407,1.4248,-1067.1,-142.373,-4.165,-970.189,1078.3579070531453,980.5886569173641,2058.9465639705095
2788,0,155.481,1.66463,-1066.22,-142.451,-4.08234,-970.334,1077.4981209979148,980.7430980929081,2058.241219090823
2788,1,155.671,1.76665,-1065.67,-142.498,-4.08654,-969.433,1076.9814901813413,979.8585210642257,2056.840011245567
2788,2,155.487,1.96129,-1065.02,-142.287,-3.94437,-968.198,1076.31206173092,978.6053932140865,2054.9174549450063
2788,3,155.355,1.61706,-1064.68,-141.864,-3.94437,-967.755,1075.9559904141263,978.1056653428078,2054.061655756934
2788,4,155.623,1.73636,-1064.15,-141.812,-3.97489,-967.9,1075.4704810337892,978.241715065613,2053.7121960994023
2788,5,155.732,2.0059,-1063.03,-141.623,-4.17378,-967.189,1074.3785461180848,977.511665551613,2051.8902116696977
2788,6,155.735,1.88042,-1062.7,-141.16,-4.29105,-966.566,1074.0522409102718,976.8287419328439,2050.880982843116
2788,7,155.562,2.01591,-1062.76,-141.286,-4.28209,-966.494,1074.0867829636152,976.775676461473,2050.862459425088
2788,8,155.759,2.26924,-1062.32,-141.213,-4.44749,-966.315,1073.6804915481969,976.588741877204,2050.2692334254007
2788,9,155.955,2.22212,-1060.85,-140.902,-4.31704,-965.405,1072.2544578327918,975.6427750275003,2047.8972328602922
2789,0,155.609,2.31352,-1059.91,-140.621,-4.35193,-964.909,1071.274344580225,975.1115747527176,2046.3859193329426
2789,1,155.575,2.30358,-1059.3,-140.448,-4.49743,-964.783,1070.6658568880473,974.9626170626261,2045.6284739506734
2789,2,155.669,2.06792,-1059.52,-140.462,-4.72832,-964.584,1070.8967010193496,974.7688051584449,2045.6655061777947
2789,3,155.7,2.15883,-1058.79,-140.286,-4.45985,-964.773,1070.1791507252274,974.9292249117484,2045.1083756369758
2789,4,155.779,2.30001,-1058.15,-139.887,-4.382,-964.505,1069.5577634644144,974.6063152463151,2044.1640787107294
2789,5,155.887,2.23899,-1056.95,-139.844,-4.39528,-963.36,1068.386199997557,973.4670782426483,2041.8532782402053
2789,6,155.86,2.1755,-1056.41,-139.611,-4.61106,-962.585,1067.8479107533292,972.6676592857006,2040.5155700390296
2789,7,155.609,2.31467,-1056.68,-139.318,-4.80208,-961.99,1068.0787147856702,972.037717990576,2040.1164327762463
2789,8,155.453,2.33402,-1056.22,-139.11,-4.8022,-961.425,1067.600941952732,971.4487551331979,2039.04969708593
2789,9,155.541,1.99355,-1055.64,-139.158,-4.80167,-960.53,1067.0392619405354,970.569876875843,2037.6091388163784
2790,0,155.887,1.81837,-1055.02,-138.917,-4.74142,-960.342,1066.4760961402073,970.3489943915108,2036.8250905317182
2790,1,155.92,1.6998,-1054.71,-138.507,-4.61617,-960.043,1066.1740570000943,969.9938453018498,2036.1679023019442
2790,2,155.886,1.42946,-1054.69,-138.429,-4.59844,-959.666,1066.1489035082725,969.6094911083707,2035.7583946166433
2790,3,156.011,1.34166,-1053.37,-138.201,-4.64644,-958.38,1064.8613003920066,968.3043582498602,2033.1656586418667
2790,4,156.15,1.02723,-1052.27,-137.855,-4.7369,-957.223,1063.7932273715005,967.1102889410338,2030.9035163125343
2790,5,156.292,0.797402,-1053.21,-137.58,-4.69942,-956.936,1064.7436917934522,966.7868684691247,2031.5305602625767
2790,6,156.261,0.422384,-1053.17,-137.234,-4.53335,-956.638,1064.699360114978,966.441920170179,2031.1412802851569
2790,7,156.214,0.493249,-1051.78,-137.048,-4.72447,-956.449,1063.3175562787328,966.2293539950962,2029.5469102738289
2790,8,156.396,0.550953,-1051.38,-136.876,-4.81514,-955.459,1062.9486896201568,965.2254273641051,2028.174116984262
2790,9,156.681,-0.209312,-1049.84,-136.648,-5.07938,-954.492,1061.4673829998326,964.2372395158695,2025.704622515702
2791,0,156.803,-0.578186,-1049.15,-136.242,-5.12029,-954.566,1060.8031097277433,964.2532594135652,2025.0563691413086
2791,1,156.932,-0.554034,-1048.96,-136.022,-4.91113,-954.116,1060.6342636260972,963.7756197050624,2024.4098833311596
2791,2,156.776,-1.09774,-1048.85,-135.944,-5.10992,-953.404,1060.5028249415968,963.0607819002944,2023.5636068418912
2791,3,156.803,-1.33787,-1048.44,-135.716,-5.37928,-953.094,1060.1016009350883,962.72319082139,2022.8247917564781
2791,4,157.053,-1.25696,-1046.84,-135.22,-5.63798,-952.64,1058.5561914029133,962.2053859849675,2020.7615773878808
2791,5,156.995,-1.32194,-1045.8,-134.856,-5.94261,-951.636,1057.5191807009287,961.1620736616754,2018.6812543626042
2791,6,157.002,-1.48684,-1045.34,-134.718,-5.98465,-951.682,1057.0655392629094,961.1885271285871,2018.2540663914965
2791,7,157.229,-1.81807,-1044.67,-134.455,-6.24805,-950.72,1056.437254511372,960.2008662534118,2016.6381207647837
2791,8,157.053,-1.87875,-1043.58,-134.295,-6.46917,-949.889,1055.3333079698386,959.3571334526516,2014.6904414224903
2791,9,157.026,-2.09423,-1042.77,-134.282,-6.57787,-949.548,1054.5287209816966,959.0184191149494,2013.547140096646
2792,0,156.988,-2.13167,-1041.92,-134.007,-6.76398,-948.726,1053.6826194642242,958.1673395344053,2011.8499589986295
2792,1,157.316,-1.92585,-1041.63,-133.691,-6.78704,-948.213,1053.4443932425777,957.6153929224204,2011.059786164998
2792,2,157.337,-1.97315,-1041.01,-133.553,-6.77733,-947.341,1052.8345762701388,956.7326200626426,2009.5671963327814
2792,3,157.208,-2.1251,-1040.2,-133.29,-6.94348,-946.807,1052.0146915865814,956.1683592670855,2008.1830508536668
2792,4,157.303,-2.27074,-1039.32,-133.07,-6.7822,-946.593,1051.1590995035658,955.9246470228916,2007.0837465264574
2792,5,157.333,-2.31049,-1038.41,-133.022,-6.8899,-945.781,1050.2639379475238,955.1146649313945,2005.3786028789182
2792,6,157.381,-2.32185,-1037.72,-132.872,-6.98537,-945.283,1049.5889521848171,954.6013376625014,2004.1902898473186
2792,7,157.228,-2.0775,-1037.1,-132.484,-6.89534,-944.657,1048.9525108365249,953.9268334724187,2002.8793443089435
2792,8,157.142,-2.24003,-1036.54,-132.155,-6.75327,-943.599,1048.3862825783256,952.8324215105681,2001.2187040888937
2792,9,157.289,-2.17208,-1035.87,-131.862,-6.75273,-942.935,1047.745772767672,952.1342345654066,1999.8800073330785
2793,0,157.115,-2.42234,-1034.85,-131.684,-6.75323,-941.539,1046.7117623567985,950.7270746604584,1997.438837017257
2793,1,157.281,-2.6989,-1034.59,-131.719,-6.75372,-941.182,1046.4803223769713,950.3783798145024,1996.8587021914736
2793,2,157.491,-3.13526,-1034.04,-131.624,-6.72263,-941.001,1045.969390821867,950.185746647,1996.155137468867
2793,3,157.514,-3.37217,-1033.16,-131.504,-6.79629,-939.544,1045.1036395145263,948.726735951804,1993.8303754663302
2793,4,157.573,-3.49334,-1032.35,-131.224,-6.95848,-939.195,1044.312202482263,948.3435066709269,1992.65570915319
2793,5,157.267,-3.6222,-1031.56,-130.961,-6.85007,-938.233,1043.4855357032218,947.3536136359036,1990.8391493391255
2793,6,157.548,-3.80096,-1031.12,-130.649,-6.8742,-936.961,1043.0936074969118,946.0509137185165,1989.1445212154283
2793,7,157.568,-4.28772,-1029.78,-130.459,-7.09605,-936.239,1041.773923443469,945.3112554749375,1987.0851789184064
2793,8,157.439,-4.53381,-1028.54,-130.399,-7.17387,-935.163,1040.5297332388518,944.237893849202,1984.7676270880538
2793,9,157.534,-5.04428,-1027.7,-130.184,-7.07139,-933.331,1039.7161612270525,942.3930358260995,1982.109197053152
2794,0,157.473,-5.41032,-1027.0,-129.843,-7.07312,-932.385,1039.0168513029528,941.4090619388229,1980.4259132417756
2794,1,157.377,-5.37571,-1026.62,-129.484,-7.39637,-931.485,1038.626517467662,940.4706894795696,1979.0972069472318
2794,2,157.407,-5.62225,-1025.9,-129.264,-7.33102,-930.125,1037.9207018573543,939.092882081022,1977.0135839383763
2794,3,157.425,-6.0716,-1025.19,-129.186,-7.37888,-928.916,1037.2241951726542,937.8850705294624,1975.1092657021165
2794,4,157.317,-6.40334,-1023.95,-128.988,-7.52919,-927.854,1035.9841908794533,936.8071509985693,1972.7913418780226
2794,5,157.191,-6.58508,-1022.75,-128.72,-7.67755,-926.771,1034.780139092168,935.6988135158676,1970.4789526080356
2794,6,157.143,-7.05088,-1022.02,-128.613,-7.83481,-925.785,1034.0544075423568,934.7088071917028,1968.7632147340596
2794,7,157.204,-7.36571,-1021.86,-128.247,-8.13331,-923.876,1033.9077380984263,932.7702327564683,1966.6779708548947
2794,8,157.177,-7.56468,-1020.83,-127.757,-7.81561,-922.268,1032.8870812496893,931.1075118549265,1963.994593104616
2794,9,157.079,-7.80174,-1019.58,-127.692,-7.88745,-921.143,1031.6385296158862,929.9848843828069,1961.6234139986932
2795,0,157.13,-7.95277,-1018.49,-127.62,-8.16924,-919.96,1030.570212819424,928.8056860733453,1959.3758988927693
2795,1,157.078,-8.34142,-1017.01,-127.189,-8.31305,-918.599,1029.102724450585,927.3997365334448,1956.5024609840298
2795,2,157.282,-8.79048,-1016.29,-126.897,-8.31355,-916.841,1028.4261102104663,925.6183787088513,1954.0444889193177
2795,3,157.285,-9.03132,-1015.9,-126.921,-8.31425,-916.116,1028.0432607463279,924.9035584589685,1952.9468192052964
2795,4,157.112,-9.04027,-1014.97,-126.7,-8.37373,-914.059,1027.0978570348946,922.8363152992587,1949.9341723341531
2795,5,156.912,-9.45856,-1013.4,-126.532,-8.50002,-912.99,1025.5195756792132,921.7555736007243,1947.2751492799375
2795,6,156.917,-9.83364,-1012.13,-126.251,-8.51779,-912.861,1024.2689013460526,921.589427602381,1945.8583289484336
2795,7,157.329,-10.1277,-1011.09,-125.898,-8.6203,-910.442,1023.3073695856441,919.1459358230824,1942.4533054087265
2795,8,157.316,-10.4553,-1009.7,-125.534,-8.79973,-909.133,1021.9352852084569,917.8011942098751,1939.736479418332
2795,9,157.281,-10.7484,-1008.35,-125.426,-8.85419,-907.635,1020.5991199112216,916.30310017022,1936.9022200814416
2796,0,157.285,-11.1973,-1007.76,-125.211,-9.18383,-905.353,1020.0216509232978,914.016516187464,1934.0381671107618
2796,1,157.263,-11.5596,-1006.45,-125.05,-9.47734,-903.569,1018.7280687313764,912.2303767330243,1930.9584454644007
2796,2,157.272,-11.8794,-1004.41,-124.919,-9.59617,-902.098,1016.7177829802919,910.756633049504,1927.474416029796
2796,3,157.047,-12.4567,-1003.78,-124.512,-9.58512,-900.938,1016.0675262913828,909.5517536201085,1925.6192799114913
2796,4,157.293,-12.6936,-1003.37,-124.291,-10.0531,-899.541,1015.7034863728488,908.1427906346062,1923.846277007455
2796,5,157.593,-13.026,-1001.76,-124.123,-10.2805,-897.87,1014.163856546367,906.4671779547509,1920.631034501118
2796,6,157.567,-13.6991,-1000.08,-123.813,-10.3047,-895.473,1012.5092746389092,904.0507394721216,1916.5600141110308
