frame,subframe,left_force_Fx,left_force_Fy,left_force_Fz,right_force_Fx,right_force_Fy,right_force_Fz,left_force,right_force,combined_force
1231,6,99.9007,-38.6097,-757.05,-88.9179,19.8123,-607.578,764.5884914740608,614.3695518624763,1378.9580433365372
1231,7,99.5374,-38.8838,-757.478,-89.042,19.9009,-609.344,764.9787999580119,616.1368629783565,1381.1156629363684
1231,8,99.9464,-38.4354,-757.462,-88.9434,19.9936,-608.105,764.9936236924592,614.9002874202613,1379.8939111127206
1231,9,100.379,-38.7256,-757.456,-88.7518,19.7557,-608.114,765.0589569911328,614.8738136249827,1379.9327706161157
1232,0,100.084,-39.2926,-758.456,-88.819,19.895,-607.338,766.039306698266,614.120567991335,1380.159874689601
1232,1,100.397,-39.0374,-758.34,-88.8714,19.5648,-607.626,765.952369150824,614.4023624734853,1380.3547316243094
1232,2,100.191,-39.6322,-757.522,-89.1972,19.9835,-606.806,765.1460829422314,613.6521835666276,1378.798266508859
1232,3,100.23,-39.5337,-757.884,-89.1203,19.6669,-606.772,765.5044897266704,613.5971600420752,1379.1016497687456
1232,4,100.485,-39.7974,-758.376,-89.0318,19.8013,-605.781,766.038658063521,612.6086620787613,1378.6473201422823
1232,5,100.376,-39.7291,-757.844,-88.8661,19.8128,-606.512,765.4941352478215,613.3078647115573,1378.801999959379
1232,6,100.562,-39.7676,-758.189,-88.685,19.8594,-605.853,765.86208782963,612.631441082124,1378.4935289117539
1232,7,100.501,-40.0494,-758.619,-88.7882,19.6717,-606.027,766.2944555471872,612.812406017641,1379.1068615648283
1232,8,100.991,-40.1185,-758.557,-88.6176,19.3978,-605.324,766.3011146881166,612.0837349992238,1378.3848496873404
1232,9,100.618,-40.1375,-758.088,-88.8092,19.7173,-605.324,765.7887545362951,612.1217124885621,1377.910467024857
1233,0,100.902,-40.2746,-757.763,-88.7314,19.22,-605.15,765.5116074744785,611.9225377823242,1377.4341452568028
1233,1,100.933,-40.2929,-757.436,-88.6433,19.4159,-604.202,765.1929706782532,610.9784518390971,1376.1714225173505
1233,2,100.716,-40.4396,-757.309,-88.5089,18.9765,-605.194,765.0464008053106,611.926229677614,1376.9726304829246
1233,3,101.106,-40.5084,-758.314,-88.52,19.1665,-604.461,766.0962578570397,611.2088396311444,1377.3050974881842
1233,4,100.989,-40.499,-757.274,-88.5982,19.0778,-605.183,765.0508860187014,611.9314234332797,1376.982309451981
1233,5,101.164,-40.4596,-756.986,-88.6547,18.8689,-605.147,764.7868581011052,611.8975264113265,1376.6843845124317
1233,6,101.437,-40.6548,-756.829,-88.6082,18.4296,-604.245,764.6779799190244,610.9853380306274,1375.6633179496519
1233,7,101.466,-40.606,-755.821,-88.7638,18.652,-605.582,763.681596238249,612.3368909501044,1376.0184871883534
1233,8,101.634,-40.8088,-756.684,-88.8885,18.7554,-605.16,764.5688353375646,611.9408109134494,1376.509646251014
1233,9,101.387,-41.3047,-755.722,-88.7899,18.5634,-605.203,763.6105966361978,611.9631666780036,1375.5737633142014
1234,0,101.602,-41.4328,-755.947,-88.6191,18.6094,-605.441,763.8687780822305,612.1751866371015,1376.043964719332
1234,1,101.661,-41.3459,-755.577,-88.8209,18.4315,-604.985,763.5057598321116,611.7480876096467,1375.2538474417584
1234,2,101.601,-41.2192,-755.867,-88.8525,18.1839,-604.189,763.7779175510641,610.9580744179259,1374.73599196899
1234,3,101.661,-41.2782,-754.863,-89.0233,18.2752,-606.186,762.795514856531,612.9605186909921,1375.7560335475232
1234,4,101.64,-41.248,-754.787,-88.8527,17.9436,-605.637,762.7158727029353,612.3830099269982,1375.0988826299335
1234,5,101.992,-41.5217,-754.193,-89.076,17.538,-606.511,762.1899375378096,613.2680558621979,1375.4579934000076
1234,6,102.069,-41.5218,-753.91,-89.2312,17.6002,-605.829,761.9202246536313,612.6179489163535,1374.5381735699848
1234,7,102.118,-41.5126,-753.027,-89.3864,17.9525,-606.099,761.0525899119982,612.9177910309098,1373.970380942908
1234,8,101.991,-41.5098,-753.787,-89.5003,17.6569,-606.79,761.7874171617958,613.6091377397341,1375.39655490153
1234,9,102.058,-41.9883,-752.875,-89.3871,17.8846,-605.828,760.920244392203,612.6479234826231,1373.568167874826
1235,0,102.058,-41.9604,-751.504,-89.532,17.6025,-606.099,759.5622242766948,612.9288905176929,1372.4911147943876
1235,1,102.068,-41.7366,-751.794,-89.5993,17.5348,-606.985,759.8381662167017,613.8129144914841,1373.6510807081859
1235,2,102.146,-41.6472,-750.75,-89.6096,17.5766,-607.178,758.810817716669,614.0064665487815,1372.8172842654506
1235,3,102.232,-41.9894,-750.344,-89.7186,17.8566,-606.681,758.4395888087331,613.5390135195316,1371.9786023282647
1235,4,102.36,-41.9517,-749.466,-90.0294,17.9125,-607.101,757.5861666430361,614.0014452113367,1371.5876118543729
1235,5,102.292,-41.7174,-749.186,-90.2781,17.8972,-607.059,757.2870376038137,613.9959890654417,1371.2830266692554
1235,6,102.291,-41.9617,-748.183,-90.1545,18.2126,-606.777,756.3081610275602,613.70828607573,1370.0164471032904
1235,7,102.31,-41.7664,-748.083,-90.2737,18.078,-606.777,756.200993888503,613.7218284570706,1369.9228223455736
1235,8,102.457,-41.8728,-747.229,-90.6311,18.1082,-606.776,755.3819872553488,613.7744026679917,1369.1563899233406
1235,9,102.515,-42.0894,-746.07,-90.7451,18.2992,-606.754,754.2554525605765,613.7751627515161,1368.0306153120926
1236,0,102.447,-41.6897,-744.982,-90.6308,18.2092,-606.635,753.14779374243,613.6379552295311,1366.7857489719613
1236,1,102.427,-41.7303,-745.276,-90.7657,18.1467,-606.862,753.4381357769794,613.8804460653394,1367.3185818423187
1236,2,102.318,-41.5063,-744.174,-90.7553,18.6187,-607.402,752.3208679411266,614.4268630779256,1366.7477310190523
1236,3,102.514,-41.4079,-743.34,-90.7297,18.6291,-607.151,751.5171920710864,614.1752670288017,1365.692459099888
1236,4,102.418,-41.6702,-742.4,-90.979,18.7274,-606.493,750.588843703422,613.5647097093835,1364.1535534128054
1236,5,102.23,-41.5841,-741.75,-90.8959,18.9499,-606.686,749.9155104228809,613.7500028047414,1363.6655132276223
1236,6,102.424,-41.4481,-741.08,-91.2638,19.1771,-606.124,749.2717712349839,613.2561827905611,1362.5279540255451
1236,7,102.78,-41.4292,-740.402,-91.4246,19.689,-606.06,748.6489354942275,613.2331023405047,1361.8820378347323
1236,8,102.377,-41.2556,-740.608,-91.2168,19.1446,-605.659,748.787876721011,612.7885806641635,1361.5764573851745
1236,9,102.426,-41.019,-739.919,-91.611,19.6013,-605.906,748.1001072035748,613.1059183523594,1361.206025555934
1237,0,102.298,-41.2359,-738.881,-91.5645,19.9271,-606.435,747.0678767112196,613.632264633844,1360.7001413450635
1237,1,102.415,-40.8636,-737.475,-91.6891,19.8273,-605.267,745.672878449364,612.4933911260595,1358.1662695754235
1237,2,102.729,-41.1274,-736.769,-91.6527,19.6767,-605.073,745.0323951565864,612.2913728521577,1357.323768008744
1237,3,102.57,-41.0225,-737.68,-91.8445,20.0126,-605.548,745.9056460479769,612.800372587199,1358.706018635176
1237,4,102.876,-40.7678,-735.863,-91.7665,20.0648,-605.05,744.136976410822,612.2982845160436,1356.4352609268656
1237,5,102.638,-40.8854,-735.01,-91.7407,20.401,-605.406,743.2670281111359,612.6573117767305,1355.9243398878664
1237,6,102.847,-40.7301,-734.027,-92.0106,20.4624,-605.094,742.3153529221997,612.3915488983498,1354.7069018205495
1237,7,102.347,-40.5844,-734.147,-92.0414,20.8576,-605.731,742.356935403287,613.0389083514357,1355.3958437547226
1237,8,102.276,-40.4789,-733.809,-92.2329,20.8626,-605.372,742.007122608813,612.7131582601845,1354.7202808689976
1237,9,102.765,-40.2237,-732.413,-92.2175,21.3336,-605.706,740.6803587484213,613.057051367334,1353.7374101157552
1238,0,102.853,-40.3415,-732.582,-92.5542,21.3542,-605.296,740.8660897593101,612.7034596044648,1353.569549363775
1238,1,103.0,-40.2051,-731.684,-92.5854,21.468,-606.149,739.9911661107922,613.5548398620616,1353.546005972854
1238,2,103.031,-40.2425,-731.338,-92.7879,21.332,-605.199,739.6554035571227,612.6422106020854,1352.297614159208
1238,3,102.784,-40.414,-730.83,-92.8393,21.3734,-604.69,739.1280883256975,612.1486371397474,1351.276725465445
1238,4,102.99,-39.6982,-730.14,-93.1453,21.6537,-605.847,738.4357160804453,613.3477945218194,1351.7835106022649
1238,5,103.036,-39.9339,-729.182,-92.964,21.7097,-605.056,737.5076425293571,612.5409206788474,1350.0485632082045
1238,6,103.371,-39.624,-728.425,-93.1498,21.6418,-604.516,736.7893902887039,612.0333708248921,1348.822761113596
1238,7,103.291,-39.3678,-728.059,-93.4665,21.6414,-604.785,736.4025813635093,612.3473140638489,1348.7498954273583
1238,8,103.261,-39.5236,-727.486,-93.3416,21.6416,-605.434,735.8402199349802,612.9692826701188,1348.809502605099
1238,9,103.544,-39.6425,-727.407,-93.4298,21.6497,-604.168,735.8082843997138,611.7326289010011,1347.540913300715
1239,0,103.594,-39.4967,-726.736,-93.5855,21.7386,-604.254,735.1441490230945,611.844513791053,1346.9886628141476
1239,1,103.485,-39.4277,-725.96,-93.6897,21.8529,-604.71,734.357957914456,612.3148644484307,1346.6728223628868
1239,2,103.663,-39.3809,-725.395,-93.5078,21.7479,-604.157,733.8220348823071,611.7371661622743,1345.5592010445814
1239,3,103.485,-39.0763,-724.409,-93.7254,21.9408,-605.032,732.8059099977906,612.6414696490926,1345.4473796468833
1239,4,103.7,-39.2476,-724.556,-94.2338,21.9236,-604.458,732.9907647724903,612.1520457071102,1345.1428104796005
1239,5,103.741,-38.5326,-724.475,-94.0002,22.2505,-605.301,732.8785588136413,612.9603763305505,1345.838935144192
1239,6,103.564,-38.8241,-723.784,-93.8391,22.1937,-605.215,732.185831256526,612.8487033791456,1345.0345346356717
1239,7,103.75,-38.924,-722.925,-94.109,22.239,-604.544,731.3683722318049,612.2291441429426,1343.5975163747476
1239,8,103.622,-38.6318,-722.709,-94.0885,22.1354,-603.929,731.1212167187052,611.6149595999185,1342.7361763186236
1239,9,103.69,-38.4669,-721.135,-93.9642,22.3279,-604.575,729.5663141350551,612.2407505426685,1341.8070646777237
