frame,subframe,left_force_Fx,left_force_Fy,left_force_Fz,right_force_Fx,right_force_Fy,right_force_Fz,left_force,right_force,combined_force
761,6,120.472,-6.00209,-1191.3,-114.652,11.9969,-1030.92,1197.3910045880452,1037.3451947705787,2234.7361993586237
761,7,120.222,-5.95067,-1188.96,-114.277,11.6693,-1029.78,1195.0374978875973,1036.1670973793223,2231.2045952669196
761,8,120.081,-6.14271,-1187.37,-113.723,11.5544,-1028.2,1193.4423724449973,1034.5345160449506,2227.9768884899477
761,9,119.79,-6.22124,-1185.73,-113.639,11.452,-1026.91,1191.7818511905346,1033.2420426623185,2225.023893852853
762,0,119.514,-6.38356,-1183.74,-113.176,11.0634,-1026.02,1189.775076909192,1032.3024005569105,2222.077477466102
762,1,119.207,-6.58474,-1181.76,-112.984,10.7964,-1025.18,1187.7753850159834,1031.4436382609379,2219.2190232769212
762,2,119.024,-6.44055,-1179.22,-112.886,10.8125,-1024.42,1185.2290924797207,1030.6776875203277,2215.9067800000485
762,3,118.681,-6.60645,-1177.54,-112.649,10.6778,-1021.75,1183.5240920837236,1027.9965345826026,2211.5206266663263
762,4,118.514,-6.49902,-1175.48,-112.183,10.4983,-1020.02,1181.4571663234178,1026.2241666380157,2207.6813329614333
762,5,118.119,-6.69099,-1173.88,-111.819,10.1333,-1018.88,1179.826733850433,1025.0476217863686,2204.8743556368017
762,6,118.165,-6.74811,-1171.53,-111.64,10.0346,-1017.75,1177.493543554941,1023.903923860613,2201.397467415554
762,7,117.676,-6.60366,-1168.68,-111.235,9.9809,-1016.23,1174.6081013263085,1022.3484026934311,2196.9565040197394
762,8,117.234,-6.22554,-1167.11,-111.022,10.0111,-1014.06,1172.9997102319724,1020.1685106918414,2193.168220923814
762,9,117.119,-6.28333,-1164.83,-110.765,9.64924,-1012.92,1170.7199790286697,1019.0038858893412,2189.723864918011
763,0,116.994,-6.32539,-1162.81,-110.241,9.72393,-1011.3,1168.697866300205,1017.3373692613699,2186.035235561575
763,1,116.609,-6.41952,-1161.12,-109.836,9.50673,-1009.59,1166.9783732006476,1015.5915974993555,2182.569970700003
763,2,116.453,-6.27991,-1158.31,-109.603,9.19864,-1007.77,1164.1661370176544,1013.7543121914943,2177.9204492091485
763,3,116.172,-6.11453,-1155.68,-109.39,9.12129,-1006.65,1161.520375826925,1012.6171994052165,2174.1375752321414
763,4,115.61,-6.2236,-1153.49,-109.154,9.08391,-1005.77,1159.285808330698,1011.716564081506,2171.002372412204
763,5,115.22,-6.11541,-1150.54,-108.708,9.14154,-1002.94,1156.3110905977976,1008.8556093998643,2165.166699997662
763,6,114.892,-6.28699,-1148.38,-108.38,9.06003,-1000.51,1154.1301149815217,1006.4037801218758,2160.5338951033973
763,7,114.631,-6.3291,-1146.1,-108.266,8.83029,-998.947,1151.8357233858524,1004.8356132156564,2156.6713366015088
763,8,114.106,-6.42259,-1143.65,-108.245,8.81031,-997.996,1149.3462278174964,1003.8877514958015,2153.233979313298
763,9,113.658,-6.28296,-1141.02,-108.046,8.71164,-995.853,1146.6840266395802,1001.7350090700082,2148.4190357095886
764,0,113.206,-6.0976,-1138.88,-107.523,8.47416,-994.153,1144.508817598956,999.9865970730336,2144.4954146719897
764,1,112.706,-6.25385,-1135.87,-107.159,8.14957,-992.778,1141.4650279250006,998.5778007026719,2140.0428286276724
764,2,112.487,-6.32655,-1133.27,-106.979,8.16568,-991.517,1138.8565508016814,997.3049413593932,2136.1614921610744
764,3,112.16,-6.29616,-1131.07,-106.614,7.90772,-989.812,1136.6348807469994,995.5686176128687,2132.2034983598683
764,4,111.92,-6.38048,-1128.24,-106.497,7.48445,-988.119,1133.7955258886104,993.8696021922607,2127.665128080871
764,5,111.535,-6.10522,-1124.63,-106.203,7.38581,-987.019,1130.1636902839557,992.7437402267294,2122.907430510685
764,6,111.233,-6.3864,-1122.16,-105.737,7.31083,-985.39,1127.6775390127978,991.0737679427748,2118.7513069555725
764,7,110.718,-6.29936,-1120.19,-105.392,7.32542,-983.409,1125.6659333747334,989.0674379046034,2114.733371279337
764,8,110.551,-6.48671,-1117.17,-105.291,7.07702,-981.873,1122.6452734090249,987.5276538011888,2110.172927210214
764,9,109.99,-6.35214,-1114.21,-105.045,7.07039,-980.323,1119.6437263176979,985.9602561811262,2105.603982498824
