frame,subframe,left_force_Fx,left_force_Fy,left_force_Fz,right_force_Fx,right_force_Fy,right_force_Fz,left_force,right_force,combined_force
1745,6,136.495,1.0197,-951.944,-138.609,5.3204,-1088.5,961.6804583379502,1097.3026070948524,2058.9830654328025
1745,7,136.605,0.896463,-951.918,-138.454,5.37701,-1088.49,961.6702181074916,1097.2733945797374,2058.943612687229
1745,8,136.551,0.608116,-951.571,-138.364,5.16665,-1088.66,961.3188406803798,1097.4296726297418,2058.748513310122
1745,9,136.595,0.486785,-951.478,-138.199,5.10869,-1088.72,961.2329662826988,1097.4681319812964,2058.7010982639954
1746,0,136.528,0.442549,-952.462,-138.009,5.36492,-1088.84,962.1974600245094,1097.5644910653798,2059.7619510898894
1746,1,136.54,0.275029,-953.336,-137.789,5.21077,-1088.31,963.0642637627827,1097.0103084041612,2060.0745721669437
1746,2,136.606,-0.0129043,-952.781,-137.531,5.04191,-1087.8,962.5241988456814,1096.4711746404682,2058.9953734861497
1746,3,136.483,-0.101895,-953.063,-137.5,5.20992,-1087.52,962.7859064405704,1096.1902862488823,2058.9761926894525
1746,4,136.44,-0.135879,-953.433,-137.178,5.05567,-1087.75,963.1460831837,1096.3774103761664,2059.5234935598664
1746,5,136.439,-0.213822,-953.433,-136.911,4.88635,-1087.29,963.1459556733068,1095.8868748357754,2059.0328305090825
1746,6,136.507,-0.190565,-952.87,-136.733,5.08682,-1086.78,962.598272522873,1095.3595562310634,2057.957828753936
1746,7,136.495,-0.169057,-952.619,-136.667,5.17563,-1086.59,962.3481037370362,1095.1632225996711,2057.5113263367075
1746,8,136.294,-0.358637,-953.198,-136.545,5.2415,-1086.32,962.8928342554523,1094.8804285159406,2057.773262771393
1746,9,136.104,-0.625707,-953.246,-136.368,5.26446,-1085.46,962.9136133845287,1094.0051908300488,2056.9188042145774
1747,0,136.106,-0.802741,-953.362,-136.123,5.24218,-1085.43,963.0288628453008,1093.9448050428105,2056.9736678881113
1747,1,136.149,-0.70254,-953.479,-136.133,5.29866,-1085.99,963.1506876934947,1094.5019641767647,2057.6526518702594
1747,2,135.937,-0.770474,-953.688,-136.135,5.15398,-1085.0,963.3277027798923,1093.5192278761451,2056.8469306560373
1747,3,135.96,-0.934643,-953.665,-135.956,5.05283,-1084.3,963.3083241530394,1092.8019285428668,2056.110252695906
1747,4,136.217,-0.869302,-953.756,-135.956,5.03127,-1084.35,963.4346549252665,1092.8514400932145,2056.286095018481
1747,5,136.305,-1.05842,-953.756,-135.924,4.97491,-1084.37,963.4472901066754,1092.8670460790313,2056.3143361857065
1747,6,136.094,-1.2248,-953.335,-135.779,4.98691,-1084.44,963.0008822405305,1092.918532971396,2055.919415211926
1747,7,136.015,-1.20177,-953.13,-135.613,4.84216,-1083.96,962.7867476113976,1092.420987478026,2055.2077350894237
1747,8,136.072,-1.2138,-953.523,-135.667,4.70758,-1083.47,963.1838734236782,1091.9409036657876,2055.1247770894656
1747,9,136.239,-1.44747,-953.221,-135.834,4.80636,-1083.19,962.9088405095265,1091.684273383312,2054.5931138928386
1748,0,136.249,-1.7479,-953.294,-135.879,4.808,-1083.4,962.9830193681559,1091.8982459483118,2054.8812653164678
1748,1,136.204,-1.93574,-953.197,-135.647,4.66314,-1083.12,962.8809882401603,1091.590943478215,2054.4719317183753
1748,2,136.406,-2.19274,-952.666,-135.467,4.44302,-1082.17,962.384493069536,1090.6250306203872,2053.0095236899233
1748,3,136.673,-2.49002,-952.943,-135.745,4.05128,-1081.96,962.6972890673372,1090.449705165093,2053.14699423243
1748,4,136.672,-2.35734,-953.363,-135.747,3.97328,-1082.47,963.1125595717646,1090.9556983961165,2054.068257967881
1748,5,136.706,-2.45773,-953.287,-135.601,3.96155,-1082.54,963.0424057339079,1091.006955376272,2054.0493611101797
1748,6,136.851,-2.79094,-952.873,-135.679,3.87349,-1081.89,962.6541121691029,1090.371389511748,2053.025501680851
