frame,subframe,left_force_Fx,left_force_Fy,left_force_Fz,right_force_Fx,right_force_Fy,right_force_Fz,left_force,right_force,combined_force
1203,9,176.667,-8.80905,-877.975,-187.532,-12.4709,-902.174,895.6165077062294,921.5431084039476,1817.159616110177
1204,0,177.132,-8.6306,-878.036,-187.932,-12.3161,-903.25,895.7664036881266,922.6758290121238,1818.4422327002503
1204,1,176.671,-9.02391,-876.974,-187.647,-12.1667,-903.567,894.6381781864042,922.9261881033011,1817.5643662897053
1204,2,176.324,-8.60665,-876.835,-187.641,-12.0824,-902.208,894.4293402081702,921.593405214447,1816.0227454226172
1204,3,176.48,-8.73119,-877.012,-187.59,-11.9208,-901.868,894.6348261848607,921.2480681101264,1815.8828942949872
1204,4,176.599,-8.50955,-877.26,-187.789,-11.755,-901.438,894.8992830716776,920.8655474009221,1815.7648304725997
1204,5,176.324,-8.45701,-876.737,-187.654,-12.2059,-901.461,894.3318406291594,920.8664084609721,1815.1982490901314
1204,6,176.443,-8.63496,-877.482,-187.665,-11.6947,-900.211,895.0873449598098,919.6383869511375,1814.7257319109472
1204,7,176.174,-8.24866,-875.801,-187.066,-11.5593,-901.029,893.3827344810262,920.3154701587331,1813.6982046397593
1204,8,176.341,-8.71861,-876.994,-187.478,-11.6244,-900.232,894.5896480942155,919.6199111499054,1814.209559244121
1204,9,175.797,-8.3422,-875.235,-187.343,-11.553,-899.543,892.7544358527938,918.9170149186488,1811.6714507714426
1205,0,176.131,-8.09634,-875.647,-187.387,-11.5463,-898.547,893.2218920802353,917.950933341042,1811.1728254212771
1205,1,175.832,-7.73915,-875.158,-187.117,-11.5154,-898.893,892.6804084501476,918.2341757826051,1810.9145842327528
1205,2,175.652,-7.70876,-874.657,-187.259,-11.9024,-897.843,892.153528118192,917.2402372638043,1809.3937653819962
1205,3,175.208,-7.35016,-874.122,-187.225,-11.4831,-897.638,891.5386357304014,917.0272849019325,1808.565920632334
1205,4,175.04,-7.33896,-874.693,-186.891,-11.5671,-897.045,892.0654158652725,916.379711532512,1808.4451273977845
1205,5,174.783,-7.17093,-872.541,-187.097,-11.7238,-896.974,889.9035430916459,916.3542391299558,1806.2577822216017
1205,6,175.082,-6.89044,-871.877,-187.006,-11.8724,-896.179,889.3091071255222,915.5593907326602,1804.8684978581823
1205,7,174.363,-6.93159,-871.13,-186.793,-11.9241,-895.544,888.4356924442692,914.895002142765,1803.330694587034
1205,8,174.333,-6.59838,-871.064,-186.813,-11.7104,-894.988,888.3625530174177,914.3520933323006,1802.7146463497184
1205,9,173.961,-6.84153,-870.174,-186.999,-11.7306,-893.817,887.4187435082385,913.2442512637898,1800.6629947720285
1206,0,173.774,-6.33501,-868.461,-186.695,-11.951,-893.922,885.6986191412404,913.2876827758054,1798.9863019170457
1206,1,173.266,-6.22769,-867.674,-186.469,-12.0293,-893.507,884.8265712300553,912.8363221676107,1797.6628933976658
1206,2,173.158,-5.80427,-867.135,-186.334,-12.1218,-893.69,884.2739907626102,912.9891092949796,1797.2631000575898
1206,3,172.738,-5.88789,-866.019,-186.418,-12.3289,-892.476,883.0979516756066,911.8207516147074,1794.9187032903142
1206,4,172.845,-6.02501,-865.154,-186.547,-12.2513,-892.139,882.2715786459972,911.5162493788523,1793.7878280248497
1206,5,172.408,-5.94788,-863.654,-186.379,-12.1402,-891.54,880.7145550384042,910.894114426611,1791.6086694650153
1206,6,172.299,-5.89471,-861.738,-186.082,-11.7343,-889.925,878.8140153928954,909.2473316680615,1788.061347060957
1206,7,171.843,-6.13938,-860.312,-185.919,-11.9552,-889.919,877.3280150432815,909.210991975482,1786.5390070187636
1206,8,171.574,-6.48474,-859.413,-185.726,-12.019,-888.289,876.396253927336,907.5769669609294,1783.9732208882656
1206,9,171.741,-6.37913,-859.207,-185.886,-11.922,-888.274,876.2261883951866,907.5937627352889,1783.8199511304756
1207,0,171.146,-6.81455,-856.679,-185.285,-11.6253,-887.999,873.6339625087285,907.1978300382393,1780.8317925469678
1207,1,170.926,-6.91748,-855.067,-184.916,-11.4691,-886.638,872.0109652375654,905.7882811975489,1777.7992464351144
1207,2,170.823,-7.30579,-853.604,-184.734,-11.3205,-886.328,870.5593952812893,905.4458172967888,1776.005212578078
