frame,subframe,left_force_Fx,left_force_Fy,left_force_Fz,right_force_Fx,right_force_Fy,right_force_Fz,left_force,right_force,combined_force
1891,9,142.351,-23.0717,-1066.75,-109.508,-1.6039,-821.709,1076.4532841892815,828.9754249917243,1905.4287091810056
1892,0,142.291,-23.1435,-1067.99,-108.942,-1.50989,-821.848,1077.6757352623515,829.0384636648726,1906.714198927224
1892,1,142.429,-23.0774,-1067.04,-109.258,-1.49691,-822.162,1076.751107745778,829.3912861536153,1906.1423938993933
1892,2,142.802,-23.0717,-1067.26,-108.781,-1.28047,-821.734,1077.018394524852,828.903922249389,1905.9223167742412
1892,3,142.759,-22.9995,-1066.53,-109.103,-1.26491,-822.602,1076.287763556406,829.8066732741477,1906.0944368305536
1892,4,142.897,-22.9953,-1065.41,-109.275,-1.77063,-822.07,1075.1961702550332,829.302867265993,1904.4990375210261
1892,5,142.403,-23.4262,-1065.63,-109.142,-1.73627,-822.176,1075.3579395510317,829.3903578976024,1904.748297448634
1892,6,142.869,-23.1725,-1064.6,-108.986,-1.586,-822.939,1074.3936317371067,830.1259309966168,1904.5195627337234
1892,7,142.765,-23.4372,-1064.97,-109.409,-1.86424,-821.943,1074.752180025163,829.1948503945123,1903.9470304196752
1892,8,142.826,-22.7402,-1063.8,-109.586,-1.66869,-822.313,1073.5859644071545,829.5845622305878,1903.1705266377423
1892,9,143.048,-23.1871,-1062.79,-109.597,-1.5804,-822.348,1072.6243312597426,829.6205356529936,1902.2448669127361
1893,0,142.848,-23.4436,-1062.72,-109.452,-1.64798,-822.198,1072.5338931171173,829.4528361191373,1901.9867292362546
1893,1,142.976,-23.3875,-1062.87,-109.659,-1.72517,-823.092,1072.6983493192529,830.3664931562021,1903.064842475455
1893,2,142.987,-23.2378,-1062.43,-109.17,-1.80274,-822.256,1072.2605944535312,829.4734886104002,1901.7340830639314
1893,3,143.204,-23.2996,-1060.74,-109.275,-1.88035,-822.789,1070.6164600715608,830.0158431392274,1900.6323032107882
1893,4,143.149,-23.3047,-1059.85,-108.997,-1.95846,-823.135,1069.727426844376,830.3224733798138,1900.0499002241897
1893,5,143.36,-23.8081,-1058.43,-109.336,-1.96355,-822.558,1068.3599487652136,829.7950830106205,1898.1550317758342
1893,6,143.595,-23.9929,-1058.78,-109.075,-2.25325,-821.608,1068.7423785344201,828.8197261314202,1897.5621046658403
1893,7,143.539,-23.7163,-1058.36,-109.125,-2.34813,-822.141,1068.3125933015533,829.354931992628,1897.6675252941814
1893,8,143.822,-23.9078,-1057.27,-108.914,-2.13556,-821.135,1067.275130172553,828.3293476857581,1895.604477858311
1893,9,143.846,-23.8539,-1056.73,-109.258,-2.4805,-822.107,1066.7422243265755,829.3391241785533,1896.081348505129
1894,0,143.63,-24.1357,-1056.54,-109.214,-2.21871,-821.435,1066.531237477126,828.6664465845495,1895.1976840616755
1894,1,143.828,-24.1594,-1056.08,-109.714,-2.2689,-820.777,1066.10277956319,828.0804269104602,1894.1832064736504
1894,2,143.484,-24.0159,-1055.14,-109.104,-2.41809,-821.181,1065.1219842388055,828.4007271461368,1893.5227113849423
1894,3,142.95,-24.2918,-1054.77,-109.27,-2.35764,-820.915,1064.6898829928084,828.1587580840823,1892.8486410768905
1894,4,143.343,-24.4587,-1052.93,-109.648,-2.78536,-820.439,1062.9238112652713,827.7382405418572,1890.6620518071286
1894,5,143.017,-24.6858,-1052.49,-109.675,-2.74733,-820.857,1062.4492698998104,828.1560045644353,1890.6052744642457
1894,6,142.988,-24.3436,-1052.76,-109.603,-2.7403,-820.141,1062.704943342676,827.4367569392176,1890.1417002818935
1894,7,143.422,-24.7464,-1052.34,-109.597,-2.74068,-819.932,1062.3566868039,827.2288065341188,1889.5854933380188
1894,8,143.312,-24.9248,-1051.7,-109.453,-2.81275,-820.523,1061.712044294045,827.7957865926611,1889.507830886706
1894,9,143.373,-24.8639,-1051.2,-109.154,-3.03591,-820.267,1061.2235724163925,827.5033315670265,1888.726903983419
