frame,subframe,left_force_Fx,left_force_Fy,left_force_Fz,right_force_Fx,right_force_Fy,right_force_Fz,left_force,right_force,combined_force
1414,8,201.587,10.8059,-1139.93,-110.407,6.31748,-681.365,1157.6676945236964,690.2810148247961,1847.9487093484925
1414,9,201.23,10.8986,-1138.09,-110.329,6.10929,-681.447,1155.7945926858974,690.3476120580879,1846.1422047439853
1415,0,201.145,11.1506,-1137.26,-110.575,6.0957,-681.095,1154.964914837399,690.0394098951813,1845.0043247325802
1415,1,200.205,11.6183,-1134.56,-110.51,6.33036,-680.476,1152.1473085156645,689.4201332523802,1841.5674417680448
1415,2,200.036,12.0595,-1132.66,-110.574,6.13614,-679.552,1150.251497906545,688.5166536795604,1838.7681515861054
1415,3,199.706,12.2564,-1131.37,-110.848,5.84899,-680.153,1148.9259256701275,689.1513572481883,1838.0772829183159
1415,4,199.18,12.819,-1129.94,-110.562,6.01885,-679.308,1147.4325264524273,688.2728683184617,1835.7053947708891
1415,5,198.861,12.794,-1127.27,-110.47,5.86291,-680.635,1144.7475864386,689.5665289431239,1834.3141153817237
1415,6,198.452,13.3068,-1125.65,-110.652,5.77028,-680.776,1143.0871312941285,689.7340961640786,1832.821227458207
1415,7,197.869,13.443,-1124.2,-110.677,5.91441,-678.984,1141.5596766748554,687.9706758508303,1829.5303525256857
1415,8,197.694,13.3855,-1122.87,-111.131,5.666,-679.992,1140.2188939612647,689.0365177412588,1829.2554117025234
1415,9,197.311,13.5486,-1121.21,-111.093,5.74388,-678.881,1138.5196789616596,687.9346327722237,1826.4543117338833
1416,0,196.947,13.75,-1119.06,-110.924,5.74412,-678.77,1136.3417034101142,687.797820286292,1824.1395236964063
1416,1,196.052,13.6085,-1116.66,-111.104,5.43253,-678.959,1133.8214734146864,688.0108537510152,1821.8323271657016
1416,2,195.636,13.5969,-1114.81,-111.313,5.45891,-679.097,1131.9274076925649,688.1810220257371,1820.108429718302
1416,3,195.727,13.4803,-1113.86,-111.13,5.27578,-678.26,1131.006134650511,687.3240417405814,1818.3301763910924
1416,4,195.111,13.752,-1111.46,-111.469,5.32801,-677.421,1128.5392112926338,686.5514816039364,1815.09069289657
1416,5,194.565,13.6112,-1109.44,-111.247,5.23578,-677.258,1126.4536908326236,686.3539225248213,1812.807613357445
1416,6,194.058,13.6116,-1106.9,-111.43,5.15668,-677.015,1123.864490505221,686.1432404925537,1810.0077309977746
1416,7,193.961,13.5864,-1106.73,-111.351,5.4171,-676.661,1123.680004576908,685.7831283244069,1809.463132901315
1416,8,193.637,13.3158,-1104.6,-111.364,5.39156,-677.609,1121.5229637856908,686.7204426083687,1808.2434063940595
1416,9,193.129,13.4712,-1102.27,-111.715,5.23572,-677.609,1119.1422772688197,686.776245126401,1805.9185223952209
1417,0,192.26,13.5944,-1099.47,-111.584,5.14317,-677.449,1116.2360844424265,686.5963798729563,1802.8324643153828
1417,1,192.039,13.3678,-1098.13,-111.947,5.33762,-676.503,1114.8754067149566,685.7236542553162,1800.5990609702728
1417,2,191.174,13.2265,-1096.26,-112.18,5.36186,-675.931,1112.882934624415,685.1976493710845,1798.0805839954994
1417,3,191.065,13.1944,-1093.54,-112.299,5.51798,-676.369,1110.1845153020104,685.6504485999264,1795.8349639019368
1417,4,190.59,12.839,-1091.4,-111.959,5.66058,-675.772,1107.990680475698,685.0070480155197,1792.9977284912175
1417,5,190.044,12.8196,-1089.04,-112.258,5.6875,-675.446,1105.5718817336844,684.7346238771996,1790.306505610884
1417,6,189.498,12.5676,-1087.54,-112.466,5.52931,-675.043,1103.9975942789729,684.3699484007725,1788.3675426797454
1417,7,188.953,12.1281,-1085.57,-112.582,5.77636,-674.206,1101.9585073488972,683.5655078299735,1785.5240151788707
1417,8,188.4,11.9789,-1083.32,-112.842,5.97313,-673.498,1099.6455230869672,682.9118180629158,1782.557341149883
1417,9,187.77,11.8827,-1079.82,-112.816,5.67192,-673.908,1096.088501837005,683.3093099003455,1779.3978117373504
1418,0,187.107,11.5522,-1078.83,-112.674,5.87717,-673.177,1094.9961879722869,682.5666595521708,1777.5628475244575
1418,1,186.848,11.0611,-1075.96,-112.698,6.22932,-672.825,1092.1192446968464,682.226593044175,1774.3458377410216
1418,2,186.295,11.1001,-1073.69,-113.191,6.10953,-672.337,1089.7886287464235,681.8259091636376,1771.614537910061
1418,3,185.678,10.7111,-1071.55,-113.399,6.47494,-671.825,1087.5708941706787,681.3590013157554,1768.9298954864341
1418,4,185.119,10.3229,-1069.16,-113.464,6.33141,-671.204,1085.1169116852848,680.756179306944,1765.8730909922288
1418,5,184.411,9.92252,-1067.39,-113.451,6.3168,-670.742,1083.2484873860433,680.2983624316906,1763.5468498177338
1418,6,183.651,9.4438,-1065.56,-113.373,6.55149,-670.445,1081.311698244054,679.9947479026733,1761.3064461467275
1418,7,183.111,9.57341,-1061.67,-113.41,6.44605,-670.284,1077.387802696888,679.8411728606928,1757.2289755575807
1418,8,182.592,8.66685,-1059.74,-113.994,6.63927,-670.04,1075.3900782287897,679.7001644417433,1755.090242670533
1418,9,181.571,8.81598,-1058.1,-114.294,6.97675,-669.446,1073.6020489661707,679.1684182826543,1752.770467248825
1419,0,181.318,8.09809,-1056.23,-114.114,7.02949,-669.12,1071.7105995023321,678.8173488690902,1750.5279483714223
