frame,subframe,left_force_Fx,left_force_Fy,left_force_Fz,right_force_Fx,right_force_Fy,right_force_Fz,left_force,right_force,combined_force
1529,5,154.924,-6.21655,-1026.97,-148.414,9.85441,-1176.7,1038.6084306272035,1186.0635374179785,2224.671968045182
1529,6,154.918,-6.28072,-1026.55,-148.532,9.81499,-1177.02,1038.192629846561,1186.3954523904329,2224.5880822369936
1529,7,154.962,-5.9953,-1026.55,-148.453,9.6985,-1177.02,1038.1975089384919,1186.384606487816,2224.5821154263076
1529,8,155.034,-6.11044,-1026.63,-148.453,9.73631,-1177.34,1038.2880311036017,1186.7023908888934,2224.990421992495
1529,9,155.043,-6.00459,-1026.95,-148.299,9.89247,-1177.67,1038.6051653299573,1187.011829453987,2225.6169947839444
1530,0,155.108,-6.17598,-1027.36,-148.336,9.85482,-1177.59,1039.0212721561384,1186.936769366099,2225.958041522237
1530,1,155.273,-6.61702,-1027.44,-148.299,9.73766,-1177.75,1039.1277318417983,1187.0899198979307,2226.2176517397293
1530,2,155.195,-6.58325,-1027.21,-148.103,9.69811,-1178.0,1038.8884498855316,1187.3131650691707,2226.2016149547026
1530,3,155.341,-6.53974,-1027.43,-148.22,9.73643,-1177.43,1039.1275183442442,1186.7625589683662,2225.8900773126106
1530,4,155.282,-6.46777,-1027.85,-148.182,10.0083,-1176.86,1039.5335271518531,1186.194558574979,2225.7280857268324
1530,5,155.073,-6.57042,-1028.08,-148.026,10.2044,-1176.94,1039.7303939714257,1186.2561232952014,2225.986517266627
1530,6,155.304,-6.58882,-1027.79,-148.025,10.242,-1177.34,1039.4782484809348,1186.6531821846684,2226.131430665603
1530,7,155.617,-6.27172,-1027.98,-147.91,10.5524,-1177.43,1039.710952890638,1186.7308566586446,2226.441809549283
1530,8,155.592,-6.22835,-1028.52,-147.715,10.6328,-1177.43,1040.2408630734146,1186.7072859643358,2226.94814903775
1530,9,155.313,-6.41806,-1028.09,-147.638,10.5921,-1177.27,1039.7751524070786,1186.5385895647937,2226.3137419718723
1531,0,155.456,-6.65422,-1028.72,-147.715,10.7864,-1177.02,1040.420917215628,1186.3018789709304,2226.7227961865583
1531,1,155.55,-6.6604,-1028.45,-147.639,10.8261,-1177.75,1040.168046965566,1187.0170770726975,2227.1851240382634
1531,2,155.425,-6.39303,-1027.29,-147.675,10.9417,-1177.76,1039.0007437714282,1187.0325370535932,2226.0332808250214
1531,3,155.316,-6.37752,-1027.35,-147.601,11.2141,-1177.51,1039.0436733445567,1186.7778272868977,2225.8215006314545
1531,4,155.191,-6.72898,-1027.6,-147.327,11.2155,-1177.75,1039.2744034434988,1186.981926934547,2226.2563303780457
1531,5,155.193,-6.62964,-1027.52,-147.25,11.4069,-1177.43,1039.1949623509197,1186.6566836147724,2225.851645965692
1531,6,155.34,-6.60787,-1027.44,-147.364,11.6036,-1177.75,1039.1376872897724,1186.9902503933888,2226.1279376831612
1531,7,155.506,-6.66705,-1027.28,-147.368,11.6027,-1177.67,1039.004698734179,1186.9113610423021,2225.9160597764812
1531,8,155.391,-6.42462,-1027.27,-147.056,11.7206,-1176.86,1038.976078417181,1186.0701072029258,2225.046185620107
1531,9,155.235,-6.536,-1026.81,-146.9,11.527,-1176.94,1038.4986281266818,1186.1282583806021,2224.626886507284
1532,0,154.967,-6.61915,-1026.21,-146.899,11.4857,-1177.59,1037.8658624002055,1186.7727017443103,2224.638564144516
1532,1,154.913,-6.7283,-1026.3,-146.978,11.6419,-1177.19,1037.947492694062,1186.387104793208,2224.33459748727
1532,2,155.075,-6.96477,-1026.22,-147.055,11.6026,-1176.29,1037.8941429867273,1185.5032507132826,2223.39739370001
1532,3,155.038,-6.97043,-1025.43,-147.017,11.564,-1176.37,1037.1075417903319,1185.5775391280824,2222.6850809184143
1532,4,154.847,-6.89016,-1024.59,-146.9,11.4489,-1176.86,1036.247912332674,1186.0481216675864,2222.2960340002605
1532,5,154.722,-6.8538,-1024.74,-146.822,11.4474,-1176.3,1036.3773151986877,1185.4827846285918,2221.8600998272796
1532,6,154.801,-6.88765,-1024.45,-146.783,11.488,-1176.12,1036.1025971512292,1185.2997416826681,2221.4023388338974
1532,7,154.691,-7.04241,-1023.54,-146.9,11.2164,-1176.21,1035.1874383992533,1185.4009371216812,2220.5883755209343
1532,8,154.454,-7.161,-1023.05,-147.055,11.0199,-1175.89,1034.6683625862925,1185.100798801946,2219.7691613882384
1532,9,154.411,-7.2759,-1022.72,-147.095,10.9437,-1175.65,1034.3364510843703,1184.8669233693251,2219.2033744536957
1533,0,154.301,-7.28164,-1022.0,-147.171,10.9434,-1174.67,1033.608156354278,1183.9039953241818,2217.5121516784598
1533,1,154.139,-7.31262,-1021.1,-147.211,10.9437,-1174.75,1032.6942992639517,1183.988346898182,2216.682646162134
1533,2,153.99,-7.58286,-1020.14,-147.171,10.8647,-1174.92,1031.7247886262012,1184.151321135559,2215.8761097617603
1533,3,153.79,-7.78233,-1019.46,-147.172,10.6721,-1174.02,1031.0240639093877,1183.2567142012801,2214.2807781106676
1533,4,153.637,-7.71147,-1018.83,-147.287,10.3991,-1173.05,1030.3777770500299,1182.306180373684,2212.6839574237138
1533,5,153.403,-7.70165,-1018.15,-147.366,10.4364,-1172.88,1029.670441608247,1182.147685697925,2211.818127306172
1533,6,153.318,-7.78557,-1018.0,-147.25,10.3611,-1173.13,1029.510089423229,1182.38061206754,2211.890701490769
1533,7,153.322,-7.89398,-1017.05,-147.481,10.0103,-1172.08,1028.5721428778054,1181.36462528175,2209.9367681595554
