frame,subframe,left_force_Fx,left_force_Fy,left_force_Fz,right_force_Fx,right_force_Fy,right_force_Fz,left_force,right_force,combined_force
2158,5,165.5,16.4272,-1177.12,-166.986,-5.11522,-1242.69,1188.8110015052182,1253.869580846289,2442.680582351507
2158,6,165.016,16.6105,-1175.79,-166.96,-4.97518,-1242.06,1187.42928760674,1253.241172965536,2440.670460572276
2158,7,164.672,16.2403,-1174.39,-166.74,-4.88282,-1240.2,1185.9900872385444,1251.3680951387375,2437.358182377282
2158,8,164.609,16.1288,-1173.73,-166.43,-4.68003,-1238.45,1185.3262732135993,1249.5916333269845,2434.9179065405838
2158,9,164.236,16.0044,-1173.25,-166.057,-4.82163,-1236.7,1184.7975215265096,1247.8081043833852,2432.605625909895
2159,0,163.645,16.0342,-1171.07,-165.481,-5.11861,-1234.65,1182.5572825426427,1245.700920778873,2428.258203321516
2159,1,163.331,15.432,-1171.06,-165.36,-5.11695,-1232.41,1182.4959559275455,1243.4647244201592,2425.9606803477045
2159,2,162.973,15.4567,-1170.16,-164.86,-5.41459,-1230.54,1181.5555568418652,1241.5461445249903,2423.101701366855
2159,3,162.77,15.134,-1169.11,-164.613,-5.05261,-1229.01,1180.4835038898257,1239.995382546569,2420.4788864363945
2159,4,162.303,14.9762,-1168.01,-164.021,-4.94675,-1227.42,1179.3277366684122,1238.3405085745046,2417.668245242917
2159,5,161.882,14.8979,-1167.13,-164.009,-5.07264,-1226.06,1178.3972871015999,1236.991433825461,2415.3887209270606
2159,6,161.245,14.6958,-1166.31,-163.477,-5.10412,-1224.89,1177.4951943267708,1235.7614226338248,2413.2566169605957
2159,7,160.976,14.771,-1166.27,-163.028,-5.22871,-1223.11,1177.4197076306307,1233.9382238557423,2411.3579314863728
2159,8,160.759,14.4936,-1165.53,-162.702,-5.19748,-1221.55,1176.6536029868603,1232.3487157060497,2409.00231869291
2159,9,160.339,14.1664,-1163.9,-162.329,-4.87005,-1221.27,1174.9776558768938,1232.0206307233668,2406.9982866002606
2160,0,159.933,13.9791,-1163.02,-162.191,-4.98107,-1218.27,1174.0483380703752,1229.0290982882973,2403.0774363586725
