Devices
1000
		FP_links - Force			FP_links - Moment			FP_links - CoP			FP_links - Raw								FP_rechts - Force			FP_rechts - Moment			FP_rechts - CoP			FP_rechts - Raw								Combined Force			Combined Moment			Combined CoP			
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	FX12	FX34	FY14	FY23	FZ1	FZ2	FZ3	FZ4	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	FX12	FX34	FY14	FY23	FZ1	FZ2	FZ3	FZ4	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	V	V	V	V	V	V	V	V	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	V	V	V	V	V	V	V	V	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
2	3	66.1748	-20.4773	-450.102	112874	-31374.5	25336.5	630.295	-250.776	0	62.221	3.95374	-14.0161	34.4934	156.368	287.363	5.92881	0.441375	-62.7191	-6.10731	-471.969	118956	40959.1	-21577.8	86.7833	-252.041	0	-54.9028	-7.81623	25.2805	-19.1732	334.515	130.713	13.8729	-7.13086	3.45573	-26.5846	-922.071	231830	324656	-10575.4	352.094	-251.423	0
2	4	66.4561	-20.3059	-451.373	112924	-31516.7	25333.3	630.176	-250.179	0	62.4245	4.03155	-14.0163	34.3222	156.401	288.049	6.19024	0.733606	-63.2173	-6.32773	-473.27	118744	41129.6	-21478.4	86.905	-250.902	0	-55.0746	-8.1427	25.2497	-18.922	334.971	130.518	14.3612	-6.57934	3.23879	-26.6336	-924.644	231668	325574	-10359.2	352.108	-250.549	0
2	5	66.565	-20.0887	-452.512	113449	-31515.2	25314.7	630.355	-250.709	0	62.3934	4.17155	-14.1866	34.2753	157.179	288.832	5.9621	0.539157	-63.528	-6.09333	-473.333	118839	41183	-21522.3	87.0064	-251.069	0	-55.3705	-8.15748	25.0631	-18.9698	335.23	130.453	14.3599	-6.71047	3.03694	-26.1821	-925.845	232288	326426	-10269.7	352.571	-250.893	0
2	6	66.8921	-20.1037	-452.871	113880	-31549.3	25257.2	630.335	-251.463	0	62.5027	4.38936	-14.1094	34.2131	157.504	289.518	5.50529	0.344151	-63.512	-5.76642	-473.529	118954	41237	-21523.1	87.0845	-251.207	0	-55.3699	-8.14208	24.8925	-19.1261	335.523	130.453	14.3277	-6.77476	3.38008	-25.8701	-926.4	232834	326697	-10338.5	352.653	-251.332	0
2	7	67.0335	-19.934	-453.943	114032	-31507.9	25415.6	630.591	-251.203	0	62.7217	4.31184	-14.388	34.322	157.796	290.04	5.40701	0.700969	-63.4966	-5.4549	-473.333	118983	41195.3	-21519.3	87.0324	-251.373	0	-55.3545	-8.14208	24.7372	-19.2823	335.457	130.453	14.3277	-6.90459	3.53693	-25.3889	-927.277	233015	327448	-10057.5	353.128	-251.289	0
2	8	67.4231	-19.9481	-454.986	114319	-31620.1	25309.4	630.503	-251.258	0	62.8938	4.52935	-14.1561	34.1042	158.12	290.79	5.40701	0.668989	-63.5592	-5.45527	-474.308	118983	41075.3	-21581.1	86.6008	-250.856	0	-55.4793	-8.07988	24.7686	-19.3134	335.425	130.972	14.5879	-6.67709	3.86398	-25.4034	-929.294	233302	327946	-10235.3	352.898	-251.053	0
2	9	67.5802	-19.7779	-455.444	114461	-31763.5	25418	630.258	-251.318	0	63.1127	4.4675	-14.326	34.1039	158.315	291.085	5.6678	0.376833	-63.8232	-5.15886	-474.306	119130	41113.8	-21486.4	86.6821	-251.167	0	-55.4478	-8.37542	24.5975	-19.4386	335.685	130.971	14.5223	-6.87236	3.75693	-24.9368	-929.75	233591	328161	-9912.95	352.956	-251.241	0
3	0	67.5957	-19.67	-457.33	114821	-31792.8	25487.5	630.482	-251.068	0	63.0973	4.49839	-14.574	34.244	158.996	292.03	5.7334	0.57107	-63.5743	-5.08154	-474.372	119133	41253.5	-21604.7	86.9644	-251.139	0	-55.5571	-8.01724	24.5512	-19.4697	336.01	130.679	14.49	-6.80696	4.02139	-24.7516	-931.702	233954	329592	-9886.25	353.752	-251.104	0
3	1	68.033	-19.8403	-458.311	114967	-32029.7	25570.5	630.114	-250.849	0	63.519	4.51403	-14.435	34.2753	159.029	292.781	5.99416	0.506621	-63.6216	-5.08197	-476.094	119226	41207.7	-21582.3	86.5542	-250.426	0	-55.588	-8.03361	24.489	-19.4071	336.595	131.134	15.0103	-6.64498	4.41138	-24.9223	-934.405	234193	329996	-9900.1	353.161	-250.633	0
3	2	68.3299	-19.7636	-459.22	115123	-31878.9	25625.3	630.58	-250.692	0	63.6916	4.63836	-14.574	34.3376	159.385	293.173	5.66867	0.992965	-63.6523	-4.83163	-475.993	119532	41243.6	-21588	86.6475	-251.121	0	-55.5257	-8.12665	24.4736	-19.642	336.854	131.392	14.6191	-6.87232	4.6776	-24.5952	-935.213	234655	330819	-9797.26	353.736	-250.91	0
