Devices
1000
		FP_links - Force			FP_links - Moment			FP_links - CoP			FP_links - Raw								FP_rechts - Force			FP_rechts - Moment			FP_rechts - CoP			FP_rechts - Raw								Combined Force			Combined Moment			Combined CoP			
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	FX12	FX34	FY14	FY23	FZ1	FZ2	FZ3	FZ4	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	FX12	FX34	FY14	FY23	FZ1	FZ2	FZ3	FZ4	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	V	V	V	V	V	V	V	V	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	V	V	V	V	V	V	V	V	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
2	3	42.809	-2.26219	-353.471	-52752.6	-20350.5	-4883.29	642.427	149.242	0	18.9916	23.8174	9.77056	-7.50837	41.1246	34.3422	186.668	91.3366	-40.8018	-11.1379	-378.567	-53438.4	35906.1	3206.49	94.8475	141.16	0	-16.3494	-24.4524	2.95053	8.18732	66.2641	21.1314	86.6444	204.527	2.00724	-13.4	-732.038	-106191	262986	-3260.33	359.251	145.062	0
2	4	42.8959	-1.99619	-353.67	-52894.7	-20206.9	-4903.2	642.865	149.559	0	19.0006	23.8952	9.64238	-7.64618	41.1807	34.0911	186.668	91.7302	-41.1056	-11.176	-378.321	-53504.1	35763.7	3252.91	94.5325	141.425	0	-16.4674	-24.6382	2.90111	8.27493	66.0376	21.1118	86.9101	204.262	1.79022	-13.1722	-731.991	-106399	263126	-3047.63	359.466	145.355	0
2	5	42.7679	-1.75469	-353.544	-52721.5	-20151.6	-4754.79	643.001	149.123	0	19.139	23.6289	9.41884	-7.66415	41.1807	34.3422	186.235	91.7864	-41.1529	-10.9014	-378.993	-53466.1	35770.9	3166.08	94.384	141.074	0	-16.5547	-24.5982	2.89171	8.00966	65.9983	21.5384	86.8067	204.65	1.61496	-12.6561	-732.537	-106188	263100	-2817	359.163	144.959	0
2	6	43.1644	-2.07203	-353.096	-52822.2	-20314.8	-4655.49	642.466	149.598	0	19.4338	23.7306	9.46057	-7.38854	40.7501	34.3799	186.323	91.6427	-40.8797	-11.0009	-378.807	-53465.2	35644.1	3182.18	94.0956	141.141	0	-16.4273	-24.4524	2.89171	8.10915	65.9983	21.455	87.0724	204.282	2.28473	-13.0729	-731.903	-106287	262496	-2923.73	358.649	145.221	0
2	7	42.7346	-2.11623	-353.613	-52839.3	-20135.8	-4792.86	643.057	149.427	0	19.0548	23.6798	9.60661	-7.49039	41.268	34.0912	186.486	91.7676	-40.9106	-10.8138	-378.057	-53123.6	35898.5	3089.6	94.9555	140.517	0	-16.5453	-24.3654	2.89171	7.92206	66.5692	21.151	86.3984	203.938	1.82393	-12.93	-731.669	-105963	263292	-3184.62	359.851	144.823	0
2	8	42.6714	-2.18503	-352.971	-52654.6	-20381.3	-4797.67	642.258	149.175	0	19.0006	23.6708	9.6245	-7.43947	40.9124	34.4865	186.361	91.2117	-41.2615	-10.9904	-378.811	-53159.5	35710.7	3079.68	94.2709	140.333	0	-16.701	-24.5606	3.02812	7.96232	66.077	21.9649	86.4427	204.326	1.40987	-13.1755	-731.782	-105814	262409	-3247.51	358.589	144.598	0
2	9	42.6026	-2.05729	-352.731	-52588.2	-20262.8	-4720.24	642.555	149.089	0	19.0006	23.6019	9.41887	-7.36159	41.2867	34.11	186.342	90.993	-41.4444	-10.8828	-379.357	-53720.6	35894	3279.56	94.6179	141.609	0	-16.5146	-24.9298	2.84233	8.04047	65.9983	21.2295	87.033	205.096	1.15816	-12.9401	-732.089	-106309	262543	-2880.78	358.622	145.213	0
3	0	42.8001	-2.24365	-352.713	-52740	-20251.1	-4922.68	642.585	149.527	0	19.0006	23.7994	9.87181	-7.62815	40.9125	34.1978	186.197	91.4052	-41.1224	-10.9332	-378.846	-53651.2	35849.9	3226.06	94.6292	141.618	0	-16.5547	-24.5677	2.7459	8.18728	65.8556	21.254	86.8264	204.91	1.67769	-13.1768	-731.559	-106391	262498	-3267.17	358.82	145.431	0
3	1	42.7579	-1.99723	-354.008	-52712.1	-20219.8	-4824.25	642.883	148.901	0	18.9315	23.8264	9.45471	-7.45749	41.2867	34.5053	186.467	91.7488	-41.0067	-11.0109	-378.624	-53522.9	35807.1	3253.86	94.5716	141.362	0	-16.4273	-24.5794	2.80468	8.20624	65.8359	21.4158	86.6444	204.728	1.75115	-13.0081	-732.632	-106235	263393	-2968.45	359.516	145.005	0
3	2	42.5424	-2.23603	-353.026	-52866.7	-20206.5	-4782.79	642.762	149.753	0	18.9224	23.6199	9.59763	-7.36159	40.9125	34.1101	186.361	91.6427	-40.9979	-11.0885	-379.033	-53399.6	35832.7	3138.38	94.5372	140.884	0	-16.6136	-24.3842	2.88229	8.20624	66.264	21.4354	86.7673	204.566	1.54451	-13.3246	-732.059	-106266	262744	-3209.64	358.911	145.161	0
