Devices
1000
		FP_links - Force			FP_links - Moment			FP_links - CoP			FP_links - Raw								FP_rechts - Force			FP_rechts - Moment			FP_rechts - CoP			FP_rechts - Raw								Combined Force			Combined Moment			Combined CoP			
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	FX12	FX34	FY14	FY23	FZ1	FZ2	FZ3	FZ4	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	FX12	FX34	FY14	FY23	FZ1	FZ2	FZ3	FZ4	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	V	V	V	V	V	V	V	V	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	V	V	V	V	V	V	V	V	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
2	3	121.938	-3.11107	-926.238	195387	-58992	31239.2	636.31	-210.947	0	104.62	17.3183	-18.7796	21.8907	299.407	539.701	51.9721	35.1584	-177.123	-28.9382	-1023.7	242068	61153.6	-43946.1	59.7381	-236.465	0	-139.988	-37.1353	55.4321	-26.4939	652.696	326.949	56.5852	-12.5347	-55.1848	-32.0493	-1949.93	437455	650528	-14884.7	333.616	-224.343	0
2	4	122.128	-3.05013	-927.705	195554	-59148.7	31116.5	636.242	-210.793	0	104.559	17.569	-18.7108	21.7609	299.714	540.444	52.3167	35.2305	-177.27	-29.0689	-1025.59	242516	61353.6	-44032.7	59.8227	-236.465	0	-140.23	-37.0393	55.4939	-26.425	653.904	327.558	56.4613	-12.3344	-55.1417	-32.119	-1953.29	438069	651598	-15051.3	333.589	-224.272	0
2	5	122.241	-3.12753	-928.5	195795	-59146.2	31077.2	636.299	-210.873	0	104.585	17.6555	-18.616	21.7436	299.948	541.079	52.0628	35.411	-177.391	-29.258	-1027.15	242907	61331	-44153.2	59.7097	-236.485	0	-140.411	-36.98	55.7267	-26.4687	654.86	328.153	56.7144	-12.573	-55.1507	-32.3856	-1955.65	438703	652135	-15265.2	333.461	-224.325	0
2	6	122.102	-3.20538	-928.808	195731	-59144.5	31134.9	636.322	-210.734	0	104.602	17.4999	-18.6074	21.8128	300.038	541.024	52.2803	35.4652	-177.503	-29.153	-1028.29	243224	61402.2	-44093.4	59.7129	-236.532	0	-140.402	-37.101	55.6124	-26.4595	655.762	328.42	56.8575	-12.749	-55.4007	-32.3583	-1957.1	438955	652423	-15202.2	333.363	-224.289	0
2	7	122.223	-3.067	-929.046	195638	-59396.4	31064.5	636.067	-210.579	0	104.576	17.6468	-18.616	21.683	299.732	541.26	52.7518	35.3028	-177.755	-29.2775	-1029.79	243393	61567	-44079.9	59.7861	-236.352	0	-140.585	-37.1695	55.5715	-26.294	656.646	328.62	57.039	-12.5156	-55.5316	-32.3445	-1958.84	439031	652503	-15162.3	333.108	-224.128	0
2	8	122.388	-2.92888	-930.224	195724	-59559.5	31065.9	635.973	-210.406	0	104.655	17.7333	-18.6935	21.6224	299.66	542.076	52.8969	35.5914	-178.23	-29.3531	-1031.3	243765	61602.1	-44081.5	59.7324	-236.367	0	-140.844	-37.3864	55.5874	-26.2343	657.549	329.196	57.1822	-12.6253	-55.8425	-32.282	-1961.53	439490	653199	-15065.9	333.006	-224.055	0
2	9	122.223	-2.97188	-930.423	195859	-59549.1	31023.9	635.998	-210.505	0	104.516	17.7073	-18.6419	21.6138	299.75	542.348	52.7157	35.6096	-178.253	-29.381	-1032.78	243799	61755.4	-44049.7	59.7952	-236.061	0	-140.826	-37.4274	55.5623	-26.1814	658.251	329.3	57.4544	-12.2249	-56.0301	-32.3528	-1963.2	439658	653502	-15106.2	332.876	-223.949	0
3	0	122.205	-2.92009	-931.417	196073	-59590.7	30975.1	636.021	-210.51	0	104.42	17.7852	-18.6591	21.5792	300.092	542.91	52.7518	35.6635	-178.125	-29.3537	-1033.77	243911	61775.4	-44098.7	59.7575	-235.943	0	-140.888	-37.2379	55.5098	-26.1561	658.738	329.519	57.6692	-12.1584	-55.9203	-32.2738	-1965.19	439983	654177	-15167.7	332.883	-223.889	0
3	1	122.317	-2.85117	-932.234	195958	-59774.2	30955.8	635.881	-210.203	0	104.411	17.9062	-18.728	21.5792	299.948	543.237	53.2594	35.79	-178.204	-29.2938	-1034.44	244330	61723	-44174.9	59.6683	-236.196	0	-141.034	-37.1695	55.5281	-26.2343	659.407	329.986	57.6692	-12.6252	-55.886	-32.145	-1966.67	440288	654513	-15214.9	332.802	-223.875	0
3	2	122.179	-2.93723	-932.831	195903	-59856.2	30910.6	635.834	-210.009	0	104.29	17.889	-18.6419	21.5792	299.93	543.454	53.5497	35.8982	-178.151	-29.111	-1035.34	244316	61774	-44159.8	59.6655	-235.977	0	-141.025	-37.1261	55.3797	-26.2687	659.856	329.947	58.032	-12.4965	-55.9723	-32.0482	-1968.17	440219	654900	-15305.3	332.746	-223.669	0
